table,table_name,property_key,property_name
1,基本情報,year,年式
1,,teiin,乗車定員
1,,kyori,走行距離
2,エンジン情報,model,型式
2,,type,種類
2,,haikiryo,排気量
2,,nenryo,使用燃料
3,ミッション情報,kudo,駆動方式
3,,mission,ミッションギア
3,,pedal,ペダル数
