3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(2)3条,"","","","","","","","","","","","","","",""
"",①東北,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HA28,3,3,●,"","",●,94,～,"",03,750,550,350,""
"",ヰセキ,HF322,4,3,●,"","",●,98,～,"",01,1077,842,629,""
"",ヰセキ,HF323,5,3,●,"","",●,03,～,"",13,1500,1214,900,""
"",ヰセキ,HF325,8,3,●,"","",●,97,～,"",00,1080,662,50,""
"",ヰセキ,HF327,9,3,●,"","",●,02,～,"",07,2075,1504,961,""
"",ヰセキ,HF331,3,3,●,"","",●,00,～,"",00,1600,1283,1000,""
"",ヰセキ,HVG323,3,3,●,"","",●,04,～,"",07,1590,1497,1400,""
"",クボタ,AR317,5,3,●,"","",●,04,～,"",04,1481,1019,700,""
"",クボタ,AR320,15,3,●,"","",●,03,～,"",03,1713,1159,278,""
"",クボタ,AR323,10,3,●,"","",●,03,～,"",03,1300,905,278,""
"",クボタ,AR326,8,3,●,"","",●,03,～,"",03,3308,1751,794,""
"",クボタ,AR330,4,3,●,"","",●,03,～,"",03,2037,1701,1481,""
"",クボタ,AR335,5,3,●,"","",●,02,～,"",02,1954,1566,1210,""
"",クボタ,ARN317,14,3,●,"","",●,06,～,"",06,1759,1303,605,""
"",クボタ,ARN320,14,3,●,"","",●,06,～,"",06,2407,1555,926,""
"",クボタ,ARN323,10,3,●,"","",●,06,～,"",06,1620,1363,940,""
"",クボタ,ARN327,33,3,●,"","",●,05,～,"",05,2580,1776,800,""
"",クボタ,ARN331,3,3,●,"","",●,05,～,"",05,2315,2001,1714,""
"",クボタ,ARN338,4,3,●,"","",●,05,～,"",05,2315,1891,1620,""
"",クボタ,ER320,7,3,●,"","",●,11,～,"",11,2500,2097,1805,""
"",クボタ,ER329,11,3,●,"","",●,10,～,"",10,3841,3059,2315,""
"",クボタ,R1-24,3,3,●,"","",●,89,～,"",89,100,69,50,""
"",クボタ,R1-241,7,3,●,"","",●,91,～,"",91,571,259,19,""
"",クボタ,R1-261,3,3,●,"","",●,91,～,"",91,648,501,354,""
"",クボタ,SR21,4,3,●,"","",●,95,～,"",95,1111,765,509,""
"",クボタ,SR25,21,3,●,"","",●,95,～,"",95,1296,624,93,""
"",クボタ,SR265,14,3,●,"","",●,00,～,"",00,1300,878,100,""
"",クボタ,SR30,13,3,●,"","",●,95,～,"",98,1667,813,135,""
"",クボタ,SR35,6,3,●,"","",●,95,～,"",95,1040,763,398,""
"",クボタ,SR-M20,10,3,●,"","",●,99,～,"",99,1620,737,370,""
"",クボタ,SR-M23,4,3,●,"","",●,99,～,"",99,1139,885,734,""
"",三菱,MC210,3,3,●,"","",●,96,～,"",98,350,217,100,""
"",ヤンマー,AE334,4,3,●,"","",●,12,～,"",12,3800,3438,3151,""
"",ヤンマー,CA215GP,14,3,●,"","",●,96,～,"",03,933,500,09,""
"",ヤンマー,CA230GH,18,3,●,"","",●,94,～,"",99,1082,603,05,""
"",ヤンマー,CA250GH,15,3,●,"","",●,93,～,"",01,955,430,10,""
"",ヤンマー,CA300GH,16,3,●,"","",●,92,～,"",98,1481,785,46,""
"",ヤンマー,CA300SGH,8,3,●,"","",●,93,～,"",98,1204,663,56,""
"",ヤンマー,CA315,7,3,"",●,"",●,98,～,"",01,1600,1169,800,""
"",ヤンマー,EE-6,5,3,"",●,"",●,98,～,"",02,850,586,204,""
"",ヤンマー,EE-65,4,3,●,"","",●,99,～,"",01,800,517,300,""
"",ヤンマー,GC323V,6,3,●,"","",●,06,～,"",11,2000,1584,1121,""
"",ヤンマー,GC325,6,3,●,"","",●,03,～,"",04,1852,1498,1111,""
"",ヤンマー,GC328,26,3,●,"","",●,99,～,"",02,1852,1353,400,""
"",ヤンマー,GC328V,4,3,●,"","",●,06,～,"",07,2071,1998,1852,""
"",ヤンマー,GC329,8,3,●,"","",●,04,～,"",07,2500,1657,140,""
"",ヤンマー,GC335,9,3,●,"","",●,99,～,"",13,2000,1702,1200,""
