1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(2)15～20馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑥中国,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,TF15,5,15,"",●,"","","","",●,"",●,"",91,～,"",02,400,272,200,""
"",ヰセキ,TF153,7,15,"",●,"","","","",●,"",●,"",95,～,"",09,670,441,160,""
"",ヰセキ,TF17,7,17.5,"",●,"","","","",●,"",●,"",92,～,"",07,350,256,180,""
"",ヰセキ,TF173,16,17.5,"",●,"","","","",●,"",●,"",95,～,"",05,700,465,250,""
"",ヰセキ,TF19,8,19,"",●,"","","","",●,"",●,"",94,～,"",01,620,321,140,""
"",ヰセキ,TF193,16,19.5,"",●,"","","","",●,"",●,"",97,～,"",06,715,516,240,""
"",ヰセキ,TH173,3,17,"",●,"","","","",●,"",●,"",08,～,"",09,1086,965,890,""
"",ヰセキ,TH18,11,18,"",●,"","","","",●,"",●,"",03,～,"",08,1037,854,600,""
"",ヰセキ,TH193,4,19,"",●,"","","","",●,"",●,"",08,～,"",09,1678,1333,1200,""
"",ヰセキ,THS16,6,16,"",●,"","","","",●,"",●,"",02,～,"",07,747,513,210,""
"",ヰセキ,TM15,36,15,"",●,"","","","",●,"",●,"",95,～,"",09,473,302,80,""
"",ヰセキ,TM150,13,15,"",●,"","","","",●,"",●,"",02,～,"",06,756,577,200,""
"",ヰセキ,TM16,8,16,"",●,"","","","",●,"",●,"",01,～,"",13,1176,938,756,""
"",ヰセキ,TM17,15,16.5,"",●,"","","","",●,"",●,"",95,～,"",11,550,314,150,""
"",ヰセキ,TM170,7,17,"",●,"","","","",●,"",●,"",02,～,"",06,740,599,290,""
"",ヰセキ,TM18,9,18,"",●,"","","","",●,"",●,"",07,～,"",13,1351,1051,840,""
"",ヰセキ,TPC15,5,15,"","","",●,"","",●,"",●,"",02,～,"",07,698,547,360,""
"",ヰセキ,TPC153,5,15,"","","",●,"","",●,"",●,"",04,～,"",08,1062,765,220,""
"",ヰセキ,TPC183,9,17.3,"","","",●,"","",●,"",●,"",05,～,"",11,1300,965,450,""
"",ヰセキ,TQ15,4,15,"",●,"","","","",●,"",●,"",10,～,"",11,1148,945,753,""
"",ヰセキ,TX155,4,15,"",●,"","","","",●,"",●,"",91,～,"",04,250,165,100,""
"",クボタ,A-155,3,16,"",●,"","","","",●,"",●,"",92,～,"",96,450,328,130,""
"",クボタ,A-155,3,16,"",●,"","","","","",●,●,"",92,～,"",92,370,342,324,""
"",クボタ,A-155,3,16,"",●,"","","","","",●,"",●,92,～,"",92,350,286,185,""
"",クボタ,A-17,4,17,"",●,"","","","","",●,"",●,98,～,"",88,403,309,260,""
"",クボタ,A-175,4,17.5,"",●,"","","","",●,"",●,"",92,～,"",96,640,423,200,""
"",クボタ,A-175,4,17.5,"",●,"","","","","",●,●,"",92,～,"",92,542,429,369,""
"",クボタ,B1-15,4,15.5,"",●,"","","","","",●,●,"",88,～,"",88,190,155,130,""
"",クボタ,B72,17,16.5,"",●,"","","","",●,"",●,"",98,～,"",99,717,532,377,""
"",クボタ,B92,4,19.5,"",●,"","","","",●,"",●,"",99,～,"",99,763,649,543,""
"",クボタ,GB15,19,15,"",●,"","","","",●,"",●,"",97,～,"",97,681,529,320,""
"",クボタ,GB15,3,15,"",●,"","","","",●,"","",●,97,～,"",97,574,481,370,""
