1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",クボタ,GB150,6,15,"",●,"","","","",●,"",●,"",01,～,"",01,720,611,470,""
"",クボタ,GB155,5,15,"",●,"","","","",●,"",●,"",03,～,"",03,801,700,543,""
"",クボタ,GB16,12,16,"",●,"","","","",●,"",●,"",96,～,"",00,800,607,400,""
"",クボタ,GB160,9,16,"",●,"","","","",●,"",●,"",00,～,"",01,821,658,517,""
"",クボタ,GB170,4,17,"",●,"","","","",●,"",●,"",01,～,"",01,697,560,370,""
"",クボタ,GB175,5,17,"",●,"","","","",●,"",●,"",03,～,"",03,853,699,500,""
"",クボタ,GB18,6,18,"",●,"","","","",●,"",●,"",96,～,"",00,822,677,511,""
"",クボタ,GB180,7,18,"",●,"","","","",●,"",●,"",00,～,"",00,893,775,708,""
"",クボタ,GT19,3,19,"",●,"","","","",●,"",●,"",97,～,"",01,717,650,550,""
"",クボタ,JB15X,3,15,"",●,"","","","",●,"",●,"",09,～,"",09,1084,955,873,""
"",クボタ,JB16,4,16.5,"",●,"","","","",●,"",●,"",06,～,"",06,1085,861,648,""
"",クボタ,JB17X,5,17,"",●,"","","","",●,"",●,"",09,～,"",09,1196,1078,896,""
"",クボタ,JB18,3,18.5,"",●,"","","","",●,"",●,"",06,～,"",06,983,901,790,""
"",クボタ,JB18(PC),3,18.5,"","",●,"","","",●,"",●,"",06,～,"",06,1006,919,795,""
"",クボタ,KB16,6,16,"",●,"","","","",●,"",●,"",04,～,"",04,906,815,715,""
"",クボタ,KB17X,4,17,"",●,"","","","",●,"",●,"",09,～,"",09,1363,1159,1031,""
"",クボタ,KB18,13,18,"",●,"","","","",●,"",●,"",04,～,"",04,1140,899,686,""
"",クボタ,KB19X,7,19,"",●,"","","","",●,"",●,"",09,～,"",09,1593,1193,892,""
"",三菱,MT18,3,18.5,●,"","","","","","",●,"",●,85,～,"",85,148,148,148,""
"",三菱,MTZ18,3,18,"",●,"","","","",●,"",●,"",01,～,"",01,716,514,400,""
"",ヤンマー,AF116,7,16,"",●,"","","","",●,"",●,"",00,～,"",12,917,795,700,""
"",ヤンマー,AF118,17,18,"",●,"","","","",●,"",●,"",00,～,"",04,1000,878,500,""
"",ヤンマー,AF118L,7,18,"",●,"","","","",●,"",●,"",05,～,"",05,1167,893,704,""
"",ヤンマー,AF-15,12,15,"",●,"","","","",●,"",●,"",95,～,"",97,620,467,150,""
"",ヤンマー,AF-150,3,15,"",●,"","","","",●,"",●,"",97,～,"",01,852,755,671,""
"",ヤンマー,AF-16,12,16,"",●,"","","","",●,"",●,"",94,～,"",96,741,427,167,""
"",ヤンマー,AF-160,12,16,"",●,"","","","",●,"",●,"",98,～,"",00,861,723,528,""
"",ヤンマー,AF-17,13,17,"",●,"","","","",●,"",●,"",95,～,"",98,685,562,61,""
"",ヤンマー,AF-170,7,17,"",●,"","","","",●,"",●,"",98,～,"",99,972,776,648,""
"",ヤンマー,AF-18,16,18,"",●,"","","","",●,"",●,"",93,～,"",98,833,507,110,""
"",ヤンマー,AF-180,11,18,"",●,"","","","",●,"",●,"",97,～,"",04,852,779,463,""
"",ヤンマー,CT118,3,18,"","","",●,"","",●,"",●,"",07,～,"",10,1536,1112,900,""
"",ヤンマー,EF116,7,16,"",●,"","","","",●,"",●,"",08,～,"",09,1200,1016,846,""
"",ヤンマー,EF118,9,18,"",●,"","","","",●,"",●,"",96,～,"",10,1200,992,500,""
"",ヤンマー,EG118,4,18,"",●,"","","","",●,"",●,"",12,～,"",13,1481,1234,1000,""
"",ヤンマー,F145,8,15,"",●,"","","","",●,"",●,"",88,～,"",98,259,147,130,""
"",ヤンマー,F15,8,15,"",●,"","","","",●,"","",●,85,～,"",93,139,120,56,""
"",ヤンマー,F155,3,16,"",●,"","","","",●,"",●,"",88,～,"",93,269,185,139,""
"",ヤンマー,F16,17,16,"",●,"","","","",●,"","",●,90,～,"",95,157,138,102,""
"",ヤンマー,F165,6,17,"",●,"","","","",●,"",●,"",86,～,"",88,157,137,83,""
"",ヤンマー,F165,3,17,"",●,"","","","",●,"","",●,98,～,"",00,176,165,148,""
"",ヤンマー,F17,4,17,"",●,"","","","",●,"",●,"",98,～,"",98,157,127,65,""
"",ヤンマー,F175,12,17,"",●,"","","","",●,"",●,"",85,～,"",04,324,170,93,""
"",ヤンマー,F18,4,18,"",●,"","","","",●,"",●,"",85,～,"",98,270,180,111,""
"",ヤンマー,F18,3,18,"",●,"","","","",●,"","",●,90,～,"",90,200,178,167,""
"",ヤンマー,F-180,21,18,"",●,"","","","",●,"",●,"",88,～,"",94,648,433,204,""
"",ヤンマー,F-190,8,19,●,"","","","","",●,"",●,"",94,～,"",97,890,703,300,""
"",ヤンマー,F195,5,19,"",●,"","","","",●,"",●,"",88,～,"",98,278,223,200,""
"",ヤンマー,F-5,4,15,"",●,"","","","",●,"",●,"",90,～,"",00,250,169,130,""
"",ヤンマー,F-6,9,16,"",●,"","","","",●,"",●,"",98,～,"",03,352,196,148,""
"",ヤンマー,F-7,14,17,"",●,"","","","",●,"",●,"",91,～,"",00,417,206,93,""
"",ヤンマー,F-7,4,17,"",●,"","","","",●,"","",●,89,～,"",00,370,266,157,""
"",ヤンマー,FB15,4,15,"",●,"","","","",●,"",●,"",86,～,"",92,139,125,111,""
"",ヤンマー,FX16,4,16,"",●,"","","","",●,"","",●,93,～,"",01,257,176,148,""
"",ヤンマー,GK16,4,16.5,"",●,"","","","","",●,●,"",14,～,"",15,1204,1007,741,""
"",ヤンマー,KE-50,28,15,"",●,"","","","",●,"",●,"",96,～,"",04,778,581,383,""
"",ヤンマー,KE-60,22,17,"",●,"","","","",●,"",●,"",99,～,"",04,787,653,450,""
"",ヤンマー,YM1500,4,15,"",●,"","","","","",●,●,"",75,～,"",98,32,28,19,""
"",ヤンマー,YM1510,4,15,"",●,"","","","","",●,"",●,82,～,"",00,130,114,102,""
"",ヤンマー,YM1610,4,16,"",●,"","","","","",●,"",●,80,～,"",80,140,114,93,""
