1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(1)15馬力未満,"","","","","","","","","","","","","","","","","","","","",""
"",⑧四国,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,TC13,5,13,"",●,"","","","",●,"",●,"",00,～,"",08,663,396,150,""
"",ヤンマー,KE-3A,3,13,"",●,"","","","","",●,●,"",00,～,"",00,389,285,120,""
"",ヤンマー,KE-4A,12,14,"",●,"","","","",●,"",●,"",93,～,"",00,556,351,102,""
