3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(2)3条,"","","","","","","","","","","","","","",""
"",④東海,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HF322,4,3,●,"","",●,97,～,"",05,1380,1221,1000,""
"",ヰセキ,HF327,3,3,●,"","",●,03,～,"",05,1515,1237,844,""
"",ヰセキ,HVA316,4,3,●,"","",●,04,～,"",07,1000,837,714,""
"",ヰセキ,HVG323,4,3,●,"","",●,04,～,"",06,1600,1237,700,""
"",ヰセキ,HVS321,4,3,●,"","",●,99,～,"",04,1300,997,800,""
"",クボタ,AR320,3,3,●,"","",●,03,～,"",03,1310,934,648,""
"",クボタ,AR323,3,3,●,"","",●,03,～,"",03,1700,934,360,""
"",クボタ,ARN320,4,3,●,"","",●,06,～,"",06,1574,942,620,""
"",クボタ,ARN323,7,3,●,"","",●,06,～,"",06,2000,1215,799,""
"",クボタ,ER323,4,3,●,"","",●,11,～,"",12,2588,2177,1759,""
"",三菱,VS231,3,3,●,"","",●,02,～,"",02,1296,933,704,""
"",ヤンマー,AE330,3,3,●,"","",●,11,～,"",11,3148,2963,2685,""
"",ヤンマー,CA215GP,4,3,●,"","",●,97,～,"",03,833,465,37,""
"",ヤンマー,GC328,9,3,●,"","",●,99,～,"",02,1400,950,46,""
