3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(1)2条,"","","","","","","","","","","","","","",""
"",④東海,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HE209,5,2,"",●,"",●,95,～,"",05,324,276,200,""
"",ヰセキ,HP2,3,2,"",●,"",●,00,～,"",04,500,372,216,""
"",ヰセキ,HV210,3,2,"",●,"",●,01,～,"",05,300,205,32,""
"",ヰセキ,HV214,4,2,●,"","",●,00,～,"",04,900,633,360,""
"",ヰセキ,HV216,3,2,●,"","",●,98,～,"",01,998,739,518,""
"",ヰセキ,HV220,3,2,●,"","",●,01,～,"",07,1161,830,500,""
"",ヰセキ,HVA212,3,2,●,"","",●,02,～,"",07,840,787,720,""
"",ヰセキ,HVA214,6,2,●,"","",●,00,～,"",10,810,561,300,""
"",ヰセキ,HVA216,4,2,●,"","",●,02,～,"",04,1279,947,350,""
"",ヰセキ,HVB217,4,2,●,"","",●,07,～,"",10,1262,1065,800,""
"",クボタ,AR211,4,2,"",●,"",●,03,～,"",03,463,374,578,""
"",クボタ,AR213,3,2,●,"","",●,03,～,"",03,1080,859,568,""
"",クボタ,AR216,8,2,●,"","",●,03,～,"",04,960,764,432,""
"",クボタ,AR218,6,2,●,"","",●,03,～,"",03,1296,873,278,""
"",クボタ,AR-J211,3,2,"",●,"",●,04,～,"",04,463,271,100,""
"",クボタ,ARN216,4,2,●,"","",●,06,～,"",06,1185,879,648,""
"",クボタ,ER211,3,2,●,"","",●,08,～,"",08,833,770,694,""
"",クボタ,R218S,4,2,●,"","",●,01,～,"",01,870,449,93,""
"",ヤンマー,AJ216,5,2,●,"","",●,08,～,"",08,1204,1143,1065,""
"",ヤンマー,CA105M,5,2,"",●,"",●,92,～,"",94,28,15,09,""
"",ヤンマー,CA130GP,3,2,●,"","",●,95,～,"",95,648,540,463,""
"",ヤンマー,CA130P,3,2,"",●,"",●,95,～,"",02,630,426,231,""
"",ヤンマー,CA135P,6,2,"",●,"",●,90,～,"",90,100,34,14,""
"",ヤンマー,CA140GP,3,2,●,"","",●,94,～,"",03,578,312,30,""
"",ヤンマー,CA140P,14,2,"",●,"",●,85,～,"",99,685,236,19,""
"",ヤンマー,CA160GP,5,2,●,"","",●,94,～,"",99,727,432,93,""
"",ヤンマー,CA180GP,5,2,●,"","",●,98,～,"",00,648,286,37,""
"",ヤンマー,CA85M,6,2,"",●,"",●,89,～,"",05,46,18,09,""
"",ヤンマー,EE-1,4,2,"",●,"",●,04,～,"",05,417,324,231,""
"",ヤンマー,EE-2,3,2,"",●,"",●,95,～,"",98,445,375,280,""
"",ヤンマー,EE211,3,2,"",●,"",●,08,～,"",08,741,741,741,""
"",ヤンマー,EE213,4,2,"",●,"",●,06,～,"",06,787,695,648,""
"",ヤンマー,EE-2D,7,2,"",●,"",●,96,～,"",96,482,273,09,""
"",ヤンマー,EE-30,5,2,"",●,"",●,01,～,"",04,602,417,200,""
"",ヤンマー,EE-35,4,2,"",●,"",●,99,～,"",99,463,434,370,""
"",ヤンマー,EE-35G,3,2,●,"","",●,01,～,"",01,807,554,300,""
"",ヤンマー,EE-3D,20,2,"",●,"",●,95,～,"",07,509,307,09,""
"",ヤンマー,EE-4D,6,2,"",●,"",●,96,～,"",00,480,315,09,""
"",ヤンマー,EE-4DG,5,2,●,"","",●,97,～,"",97,741,494,93,""
"",ヤンマー,EE-55G,4,2,●,"","",●,91,～,"",03,800,719,685,""
"",ヤンマー,GC215G,9,2,●,"","",●,00,～,"",02,864,753,583,""
"",ヤンマー,GC216,4,2,●,"","",●,03,～,"",05,1290,1057,833,""
"",ヤンマー,GC217V,5,2,●,"","",●,05,～,"",07,1180,905,787,""
"",ヤンマー,GC218,3,2,●,"","",●,00,～,"",01,1080,959,880,""
"",ヤンマー,GC219,3,2,●,"","",●,04,～,"",05,1400,1051,602,""
"",ヤンマー,GC221,9,2,●,"","",●,99,～,"",01,1150,668,46,""
"",ヤンマー,GC222,7,2,●,"","",●,03,～,"",04,1450,1160,907,""
