2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",(1)3～4条,"","","","","","","","","","","","","","",""
"",⑥中国,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,植付け方式,"",施肥機,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",クランク,ロータリー,有,無,"","","","",最高,平均,最低,""
"",クボタ,JC3,15,3,●,"","",●,05,～,"",05,300,225,139,""
"",ヰセキ,PK43,7,4,●,"","",●,97,～,"",09,216,93,10,""
"",ヰセキ,PM40,9,4,"",●,"",●,90,～,"",05,216,61,05,""
"",ヰセキ,PM43,11,4,"",●,●,"",97,～,"",06,400,172,05,""
"",ヰセキ,PM43,24,4,"",●,"",●,97,～,"",06,250,86,05,""
"",ヰセキ,PP4,10,4,●,"","",●,00,～,"",11,250,130,05,""
"",ヰセキ,PP43,9,4,●,"","",●,03,～,"",11,300,235,150,""
"",ヰセキ,PPZ4,9,4,●,"",●,"",08,～,"",13,648,582,480,""
"",ヰセキ,PPZ4,8,4,●,"","",●,08,～,"",13,490,453,350,""
"",ヰセキ,PPZ4S,6,4,●,"","",●,09,～,"",12,450,406,346,""
"",ヰセキ,PQ4,17,4,"",●,●,"",02,～,"",13,740,466,250,""
"",ヰセキ,PQ4,19,4,"",●,"",●,02,～,"",07,550,365,65,""
"",ヰセキ,PQ4K,6,4,●,"","",●,05,～,"",08,367,281,119,""
"",ヰセキ,PQ4V,9,4,"",●,"",●,02,～,"",11,400,270,150,""
"",ヰセキ,PQZ4,27,4,"",●,●,"",07,～,"",12,995,756,432,""
"",ヰセキ,PQZ4,27,4,"",●,"",●,07,～,"",12,800,626,450,""
"",ヰセキ,PQZ43,5,4,"",●,●,"",12,～,"",15,1122,982,867,""
"",クボタ,JC4,43,4,●,"","",●,02,～,"",05,324,232,100,""
"",クボタ,JC4A,6,4,●,"",●,"",05,～,"",09,520,424,324,""
"",クボタ,JC4A,25,4,●,"","",●,05,～,"",09,435,310,157,""
"",クボタ,JJ4,7,4,●,"","",●,00,～,"",02,240,132,37,""
"",クボタ,SPJ400,3,4,"",●,●,"",97,～,"",99,200,142,56,""
"",クボタ,SPJ400,20,4,"",●,"",●,97,～,"",99,278,153,23,""
"",クボタ,SPJ400K,11,4,●,"","",●,98,～,"",00,324,150,60,""
"",クボタ,SPJ40A,15,4,"",●,●,"",01,～,"",01,370,259,93,""
"",クボタ,SPJ40A,20,4,"",●,"",●,01,～,"",01,356,274,204,""
"",クボタ,SPJ40AK,8,4,●,"","",●,01,～,"",03,300,199,100,""
"",クボタ,SPJ45A,3,4,"",●,●,"",01,～,"",01,350,328,311,""
"",クボタ,SPJ45A,7,4,"",●,"",●,01,～,"",01,370,226,80,""
"",クボタ,SPU40P,5,4,"",●,"",●,04,～,"",04,389,311,234,""
"",クボタ,SPU450P,20,4,"",●,●,"",08,～,"",09,1000,824,611,""
"",クボタ,SPU450P,6,4,"",●,"",●,08,～,"",08,741,688,602,""
"",クボタ,SPU45P,35,4,"",●,●,"",04,～,"",08,741,543,165,""
"",クボタ,SPU45P,34,4,"",●,"",●,04,～,"",07,574,423,324,""
"",三菱,LC4,10,4,●,"","",●,04,～,"",11,460,228,93,""
"",三菱,LV4,9,4,"",●,●,"",06,～,"",10,630,478,300,""
"",三菱,LV4,4,4,"",●,"",●,05,～,"",10,518,391,300,""
"",三菱,MPR41,3,4,●,"","",●,97,～,"",01,139,95,56,""
"",三菱,MPR41,3,4,"",●,"",●,97,～,"",01,270,192,93,""
"",三菱,MPR43,6,4,"",●,"",●,98,～,"",04,350,238,138,""
"",三菱,MPR4Z,3,4,●,"","",●,01,～,"",01,185,154,139,""
"",三菱,MPR4H,3,4,"",●,"",●,93,～,"",96,231,199,180,""
"",ヤンマー,PE-1,61,4,●,"","",●,99,～,"",99,300,167,03,""
"",ヤンマー,PE-1A,6,4,●,"","",●,01,～,"",02,250,183,83,""
"",ヤンマー,PE-1L,9,4,●,"","",●,04,～,"",04,232,174,93,""
"",ヤンマー,PE-1X,37,4,●,"","",●,04,～,"",04,400,163,148,""
"",ヤンマー,PE-4,14,4,●,"","",●,90,～,"",03,230,41,03,""
"",ヤンマー,PE-40,8,4,●,"","",●,96,～,"",98,370,188,03,""
"",ヤンマー,PE-40R,9,4,"",●,"",●,99,～,"",99,400,256,60,""
"",ヤンマー,PE-4AR,12,4,"",●,"",●,99,～,"",00,350,274,185,""
"",ヤンマー,PES-1,55,4,●,"","",●,07,～,"",07,519,362,231,""
"",ヤンマー,RJ4,12,4,"",●,●,"",11,～,"",12,1111,917,550,""
"",ヤンマー,RR4,6,4,"",●,"",●,98,～,"",00,300,212,111,""
"",ヤンマー,RR400,21,4,"",●,"",●,93,～,"",02,314,142,04,""
"",ヤンマー,VP1,15,4,"",●,"",●,10,～,"",10,648,469,156,""
"",ヤンマー,VP4,14,4,"",●,●,"",01,～,"",06,741,497,200,""
"",ヤンマー,VP4,17,4,"",●,"",●,01,～,"",09,630,429,270,""
"",ヤンマー,VP40,11,4,"",●,●,"",07,～,"",10,852,672,556,""
"",ヤンマー,VP40,5,4,"",●,"",●,07,～,"",10,741,590,450,""
"",ヤンマー,VP40C,3,4,"",●,"",●,07,～,"",10,611,590,556,""
"",ヤンマー,VP4C,15,4,"",●,"",●,03,～,"",05,556,422,278,""
