3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(5)6条,"","","","","","","","","","","","","","",""
"",①北海道,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HF680,3,6,●,"","",●,03,～,"",10,4458,3106,2406,""
"",ヰセキ,HJ698,4,6,●,"","",●,09,～,"",09,4758,3696,1747,""
"",クボタ,ARN690,3,6,●,"","",●,05,～,"",05,4101,3390,2304,""
"",クボタ,ARN698,3,6,●,"",●,"",05,～,"",05,3400,2692,2026,""
"",クボタ,ARN698,4,6,●,"","",●,05,～,"",05,3820,2697,1454,""
"",クボタ,ER698,6,6,●,"",●,"",08,～,"",08,7800,5816,4372,""
"",クボタ,SR75,4,6,●,"","",●,94,～,"",94,790,512,67,""
"",ヤンマー,AG6100,3,6,●,"",●,"",13,～,"",13,6936,6896,6876,""
"",ヤンマー,GC695,7,6,●,"","",●,04,～,"",09,5239,4549,2778,""
"",ヤンマー,GC80,5,6,●,"","",●,01,～,"",01,2250,989,30,""
