1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(6)40～50馬力,"","","","","","","","","","","","","","","","","","","","",""
"",①北海道,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",クボタ,GL-46,3,46,"",●,"","","","",●,"","",●,91,～,"",91,1227,1029,806,""
"",クボタ,L46,4,46,"",●,"","",●,"","","","",●,97,～,"",97,1359,1037,630,""
"",ヤンマー,US-46,3,46,"",●,"","","","","",●,"",●,85,～,"",95,1296,1182,1000,""
"",ヤンマー,YM4220,3,42,"",●,"","","","",●,"","",●,00,～,"",15,400,341,300,""
