1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(8)70～100馬力,"","","","","","","","","","","","","","","","","","","","",""
"",①北海道,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,TJ85,5,85,"",●,"","",●,"","","","",●,04,～,"",08,3411,2702,1831,""
"",ヰセキ,TJ85,7,85,"","",●,"",●,"","","","",●,07,～,"",11,3976,3154,2337,""
"",クボタ,GM90Q(PC),4,89,"","",●,"",●,"","","","",●,01,～,"",02,3250,2748,1900,""
"",クボタ,M1-75,4,75,"",●,"","","",●,"","","",●,88,～,"",88,2167,1480,880,""
"",クボタ,M1-85,6,85,"",●,"","",●,"","","","",●,88,～,"",88,2600,1673,816,""
"",クボタ,M1-85,6,85,"",●,"","","",●,"","","",●,88,～,"",88,1846,1199,370,""
"",クボタ,M7000,3,79,"",●,"","","","",●,"","",●,76,～,"",76,610,520,399,""
"",クボタ,M7970,6,79.5,"",●,"","","",●,"","","",●,84,～,"",84,1111,742,107,""
"",クボタ,M95D,4,95,"",●,"","",●,"","","","",●,04,～,"",04,4230,3697,3000,""
"",クボタ,MD-87,4,87,"",●,"","",●,"","","","",●,95,～,"",95,2816,2268,1963,""
"",クボタ,SMZ95(PC),7,95,"","",●,"",●,"","","","",●,07,～,"",07,4083,3151,2370,""
"",ヤンマー,AF-720,3,72,"",●,"","","","",●,"","",●,96,～,"",96,2150,1942,1800,""
"",ヤンマー,AF-720R,3,72,"",●,"","","","",●,"","",●,96,～,"",97,3292,2100,1296,""
"",ヤンマー,AF880,3,80,"",●,"","","","",●,"","",●,00,～,"",02,2646,2307,2200,""
"",ヤンマー,AF880SE,4,80,"",●,"","","","",●,"","",●,04,～,"",04,3354,3265,3000,""
"",ヤンマー,AF890,6,90,"",●,"","","","",●,"","",●,99,～,"",01,3578,3048,2385,""
"",ヤンマー,CT1001,12,98,"","","",●,"","",●,"","",●,96,～,"",07,5556,4366,3400,""
"",ヤンマー,CT-75,4,75,"","","",●,"","",●,"","",●,99,～,"",99,2150,1410,713,""
"",ヤンマー,CT-80,4,80,"","","",●,"","",●,"","",●,96,～,"",96,1597,1395,787,""
"",ヤンマー,CT800,5,80,"","","",●,"","",●,"","",●,10,～,"",10,3241,3074,2578,""
"",ヤンマー,CT801,5,80,"","","",●,"","",●,"","",●,06,～,"",07,4300,3361,2400,""
"",ヤンマー,CT-80A,4,80,"","","",●,"","",●,"","",●,98,～,"",01,2035,1458,889,""
"",ヤンマー,CT-95,6,95,"","","",●,"","",●,"","",●,95,～,"",97,2000,1207,185,""
"",ヤンマー,EG782,8,82,"",●,"","",●,"","","","",●,98,～,"",07,3820,3423,3056,""
"",ヤンマー,EG83,5,83,"",●,"","",●,"","","","",●,98,～,"",98,5469,4927,4000,""
"",ヤンマー,F70,3,70,"",●,"","","","",●,"","",●,90,～,"",00,800,540,20,""
"",ヤンマー,F80,4,80,"",●,"","","","",●,"","",●,85,～,"",91,731,352,20,""
"",ヤンマー,JD-2030,3,72,"",●,"","","","","",●,"",●,85,～,"",97,648,496,330,""
"",ヤンマー,JD-2040,3,79,"",●,"","","","","",●,"",●,00,～,"",00,1150,1133,1100,""
"",ヤンマー,JD-2850,5,87,"",●,"","","","","",●,"",●,91,～,"",94,2100,1419,694,""
"",ヤンマー,JD-6200,3,85,"",●,"","","","","",●,"",●,96,～,"",97,3241,1909,787,""
"",ヤンマー,JD-6210,3,90,"",●,"","","","","",●,"",●,99,～,"",02,3500,3028,2685,""
"",ヤンマー,JD-6300,5,90,"",●,"","","","","",●,"",●,96,～,"",98,3100,2242,1296,""
"",ヤンマー,PF-92,4,92,"",●,"","","","",●,"","",●,96,～,"",99,2100,1436,920,""
