1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(４)25～30馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑧九州,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,AT25,15,25,"",●,"","","","",●,"",●,"",04,～,"",11,1747,1214,170,""
"",ヰセキ,AT27,5,27,"",●,"","","","",●,"",●,"",04,～,"",08,1595,1389,1250,""
"",ヰセキ,ATK250,4,25,"",●,"","","","",●,"",●,"",10,～,"",12,1600,1437,1232,""
"",ヰセキ,TG25,9,25,"",●,"","","","",●,"",●,"",94,～,"",07,1250,785,310,""
"",ヰセキ,TG253,12,25,"",●,"","","","",●,"",●,"",98,～,"",09,1500,916,180,""
"",ヰセキ,TG27,4,27,"",●,"","","","",●,"",●,"",98,～,"",04,1300,925,650,""
"",ヰセキ,TG273,7,25,"",●,"","","","",●,"",●,"",00,～,"",08,1300,874,116,""
"",ヰセキ,TGS25,7,25,"",●,"","","","",●,"",●,"",00,～,"",04,1300,1097,840,""
"",ヰセキ,TGS29,5,29,"",●,"","","","",●,"",●,"",03,～,"",06,1410,1204,1010,""
"",ヰセキ,TH26,4,26,"",●,"","","","",●,"",●,"",03,～,"",05,1298,761,350,""
"",ヰセキ,TK25,3,25,"",●,"","","","",●,"",●,"",98,～,"",00,1125,859,700,""
"",クボタ,FT25,4,25,"",●,"","","","",●,"",●,"",12,～,"",12,2056,1751,1537,""
"",クボタ,GL241,22,25,"",●,"","","","",●,"",●,"",96,～,"",96,1550,949,500,""
"",クボタ,GL241,3,25,"",●,"","","","",●,"","",●,96,～,"",96,1153,991,801,""
"",クボタ,GL-25,12,25,"",●,"","","","","",●,●,"",90,～,"",90,1016,687,500,""
"",クボタ,GL-25,3,25,"",●,"","","","","",●,"",●,90,～,"",90,861,722,506,""
"",クボタ,GL260,14,26,"",●,"","","","",●,"",●,"",93,～,"",93,1343,925,463,""
"",クボタ,GL261,17,27,"",●,"","","","",●,"",●,"",96,～,"",98,1481,1018,741,""
"",クボタ,GL261,3,27,"",●,"","","","",●,"","",●,96,～,"",96,1157,818,481,""
"",クボタ,GL-27,3,27,"",●,"","","","","",●,●,"",90,～,"",90,833,624,519,""
"",クボタ,GL280,3,28,"",●,"","","","",●,"",●,"",93,～,"",93,935,697,370,""
"",クボタ,GL281,7,29,"",●,"","","","",●,"",●,"",96,～,"",96,1343,961,487,""
"",クボタ,GL-29,3,29,"",●,"","","","","",●,●,"",90,～,"",90,972,810,650,""
"",クボタ,KL25,6,25,"",●,"","",●,"","","",●,"",99,～,"",99,1500,1368,1225,""
"",クボタ,KL25,47,25,"",●,"","","","",●,"",●,"",99,～,"",99,1852,1165,432,""
"",クボタ,KL250,5,25,"",●,"","",●,"","","",●,"",03,～,"",03,2010,1746,1300,""
"",クボタ,KL250,32,25,"",●,"","","","",●,"",●,"",03,～,"",03,1811,1415,787,""
"",クボタ,KL250H,5,25,"",●,"","",●,"","","",●,"",03,～,"",03,2023,1434,713,""
"",クボタ,KL250H,5,25,"",●,"","","","",●,"",●,"",03,～,"",03,1963,1646,1300,""
"",クボタ,KL250H,3,25,"",●,"","","","",●,"","",●,03,～,"",03,1444,1115,900,""
"",クボタ,KL265,8,26,"",●,"","","","",●,"",●,"",07,～,"",07,2148,1623,1104,""
"",クボタ,KL27,5,27,"",●,"","",●,"","","",●,"",99,～,"",99,2200,1763,1192,""
"",クボタ,KL27,22,27,"",●,"","","","",●,"",●,"",99,～,"",99,1806,1391,741,""
"",クボタ,KL270,4,27,"",●,"","",●,"","","",●,"",03,～,"",03,2074,1716,1398,""
"",クボタ,KL270,17,27,"",●,"","","","",●,"",●,"",03,～,"",04,1872,1524,1042,""
"",クボタ,KL270(PC),3,27,"","",●,"",●,"","","",●,"",04,～,"",04,2026,1697,1488,""
"",クボタ,KL270H,3,27,"",●,"","",●,"","","","",●,03,～,"",03,1850,1788,1700,""
"",クボタ,KL270H,5,27,"",●,"","","","",●,"",●,"",03,～,"",03,1442,1247,795,""
"",クボタ,KL2750,4,27,"",●,"","","","",●,"",●,"",09,～,"",09,2174,2042,1782,""
"",クボタ,KL2750H,3,27,"",●,"","","","",●,"",●,"",09,～,"",09,1900,1683,1375,""
"",クボタ,KL27RH,5,27,"",●,"","","","",●,"",●,"",10,～,"",10,2670,2197,1931,""
"",クボタ,KL280H,3,28,"",●,"","",●,"","","",●,"",03,～,"",03,2037,1871,1580,""
"",クボタ,KL280H,11,28,"",●,"","","","",●,"",●,"",03,～,"",03,2100,1438,620,""
"",クボタ,KL285,5,28,"",●,"","","","",●,"",●,"",07,～,"",07,2122,1934,1763,""
