3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(3)4条,"","","","","","","","","","","","","","",""
"",⑧四国,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HF433,6,4,●,"","",●,00,～,"",06,2884,1361,400,""
"",ヰセキ,HVG428,6,4,●,"","",●,06,～,"",13,2700,2217,1712,""
"",クボタ,ARN445,3,4,●,"","",●,05,～,"",06,3241,2685,2361,""
