1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(2)15～20馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑧九州,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,TF15,5,15,"",●,"","","","",●,"",●,"",90,～,"",97,520,275,30,""
"",ヰセキ,TF17,6,17.5,"",●,"","","","",●,"",●,"",92,～,"",95,600,444,333,""
"",ヰセキ,TF173,6,17.5,"",●,"","","","",●,"",●,"",98,～,"",05,594,444,32,""
"",ヰセキ,TF19,4,19,"",●,"","","","",●,"",●,"",93,～,"",02,540,368,240,""
"",ヰセキ,TF193,7,19.5,"",●,"","","","",●,"",●,"",97,～,"",02,657,526,432,""
"",ヰセキ,TH18,3,18,"",●,"","","","",●,"",●,"",03,～,"",05,850,660,480,""
"",ヰセキ,TM15,7,15,"",●,"","","","",●,"",●,"",97,～,"",02,438,282,100,""
"",ヰセキ,TM150,3,15,"",●,"","","","",●,"",●,"",05,～,"",06,700,586,470,""
"",ヰセキ,TM17,6,16.5,"",●,"","","","",●,"",●,"",96,～,"",11,600,445,130,""
"",ヰセキ,TM170,6,17,"",●,"","","","",●,"",●,"",03,～,"",06,760,624,430,""
"",ヰセキ,TM18,3,18,"",●,"","","","",●,"",●,"",06,～,"",09,1000,918,874,""
"",ヰセキ,TX155,3,15,"",●,"","","","",●,"",●,"",91,～,"",94,372,184,80,""
"",クボタ,A-15,3,15.5,"",●,"","","","","",●,●,"",88,～,"",88,450,360,300,""
"",クボタ,A-15,6,15.5,"",●,"","","","","",●,"",●,88,～,"",88,400,220,150,""
"",クボタ,A-155,3,16,"",●,"","","","","",●,●,"",92,～,"",92,528,377,250,""
"",クボタ,A-155,12,16,"",●,"","","","","",●,"",●,92,～,"",92,645,379,150,""
"",クボタ,A-17,3,17,"",●,"","","","","",●,"",●,88,～,"",88,370,315,241,""
"",クボタ,A-175,3,17.5,"",●,"","","","",●,"",●,"",92,～,"",92,407,353,259,""
"",クボタ,A-175,13,17.5,"",●,"","","","","",●,"",●,92,～,"",92,509,340,92,""
"",クボタ,A-19,3,18.5,"",●,"","","","","",●,"",●,88,～,"",88,460,365,275,""
"",クボタ,A-195,5,19,"",●,"","","","","",●,"",●,92,～,"",92,509,344,231,""
