3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(3)4条,"","","","","","","","","","","","","","",""
"",⑨九州,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HF433,3,4,●,"","",●,06,～,"",08,1650,1423,1000,""
"",クボタ,AR36,8,4,●,"","",●,02,～,"",02,2593,2158,1390,""
"",クボタ,AR43,5,4,●,"","",●,02,～,"",02,2180,1911,1401,""
"",クボタ,AR48,3,4,●,"","",●,02,～,"",02,2300,2066,1852,""
"",クボタ,ARN438,3,4,●,"","",●,05,～,"",05,3331,2725,1852,""
"",クボタ,ARN445,5,4,●,"",●,"",05,～,"",05,4442,3731,2736,""
"",クボタ,ARN445,11,4,●,"","",●,05,～,"",05,3616,2551,1846,""
"",クボタ,ARN452,4,4,●,"","",●,05,～,"",05,3148,2774,2096,""
"",クボタ,ARN460,3,4,●,"",●,"",05,～,"",05,3200,2718,2222,""
"",クボタ,ER447,5,4,●,"",●,"",10,～,"",10,4600,3836,2779,""
"",クボタ,ER447,8,4,●,"","",●,10,～,"",10,4709,3926,3331,""
"",クボタ,ER467,9,4,●,"",●,"",09,～,"",09,6981,4737,2963,""
"",クボタ,SR40,5,4,●,"","",●,95,～,"",95,1296,1004,400,""
"",クボタ,SR45,3,4,●,"","",●,95,～,"",95,1293,931,500,""
"",ヤンマー,AG467,5,4,●,"",●,"",07,～,"",07,4630,3133,2479,""
"",ヤンマー,CA355GH,5,4,●,"","",●,93,～,"",95,102,86,49,""
"",ヤンマー,CA435,3,4,●,"","",●,96,～,"",97,1528,583,111,""
"",ヤンマー,GC441,9,4,●,"","",●,04,～,"",05,2500,2008,1204,""
"",ヤンマー,GC447,3,4,●,"","",●,05,～,"",06,2574,2278,1759,""
"",ヤンマー,GC451,3,4,●,"",●,"",02,～,"",02,2037,1836,1620,""
"",ヤンマー,GC451,3,4,●,"","",●,00,～,"",01,1667,629,19,""
