3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(1)2条,"","","","","","","","","","","","","","",""
"",⑥中国,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HA18,5,2,●,"","",●,95,～,"",08,600,217,10,""
"",ヰセキ,HE209,8,2,"",●,"",●,96,～,"",08,324,175,10,""
"",ヰセキ,HL117,5,2,"",●,"",●,92,～,"",03,300,108,07,""
"",ヰセキ,HL13,3,2,"",●,"",●,95,～,"",98,270,95,05,""
"",ヰセキ,HL147,4,2,"",●,"",●,94,～,"",06,324,86,05,""
"",ヰセキ,HL85,5,2,"",●,"",●,90,～,"",93,200,49,05,""
"",ヰセキ,HL87,3,2,"",●,"",●,94,～,"",03,10,07,05,""
"",ヰセキ,HL97,3,2,●,"","",●,97,～,"",98,105,37,02,""
"",ヰセキ,HP2,8,2,"",●,"",●,01,～,"",05,648,518,400,""
"",ヰセキ,HP23,4,2,"",●,"",●,06,～,"",09,840,681,584,""
"",ヰセキ,HV210,3,2,"",●,"",●,02,～,"",05,400,308,200,""
"",ヰセキ,HV211,4,2,●,"","",●,02,～,"",11,620,502,400,""
"",ヰセキ,HV211,5,2,"",●,"",●,00,～,"",10,550,294,05,""
"",ヰセキ,HV212,5,2,●,"","",●,01,～,"",08,843,607,443,""
"",ヰセキ,HV212,4,2,"",●,"",●,00,～,"",02,540,340,250,""
"",ヰセキ,HV214,7,2,●,"","",●,98,～,"",15,1008,793,600,""
"",ヰセキ,HV214,6,2,"",●,"",●,97,～,"",05,756,552,06,""
"",ヰセキ,HV216,11,2,●,"","",●,98,～,"",05,1100,707,540,""
"",ヰセキ,HV218,8,2,●,"","",●,03,～,"",13,1300,1019,787,""
"",ヰセキ,HV220,3,2,●,"","",●,03,～,"",09,920,839,745,""
"",ヰセキ,HVA211,6,2,"",●,"",●,03,～,"",07,756,674,590,""
"",ヰセキ,HVA212,8,2,●,"","",●,03,～,"",11,1116,865,400,""
"",ヰセキ,HVA212,3,2,"",●,"",●,05,～,"",08,680,627,600,""
