3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",ヰセキ,HVA214,7,2,●,"","",●,02,～,"",06,1340,942,700,""
"",ヰセキ,HVA216,4,2,●,"","",●,99,～,"",07,1296,1029,700,""
"",ヰセキ,HVB211,7,2,●,"","",●,09,～,"",13,1320,1019,864,""
"",ヰセキ,HVB212,4,2,"",●,"",●,06,～,"",11,864,768,670,""
"",ヰセキ,HVB213,4,2,●,"","",●,08,～,"",14,1400,1111,720,""
"",ヰセキ,HVB217,5,2,●,"","",●,08,～,"",11,1700,1448,1080,""
"",ヰセキ,HVG218,5,2,●,"","",●,05,～,"",09,1533,1437,1220,""
"",ヰセキ,HVS218,6,2,●,"","",●,01,～,"",04,1600,1120,819,""
"",クボタ,AR211,13,2,"",●,"",●,03,～,"",04,602,511,360,""
"",クボタ,AR213,5,2,●,"","",●,03,～,"",03,1149,788,530,""
"",クボタ,AR213,8,2,"",●,"",●,03,～,"",03,800,498,250,""
"",クボタ,AR216,10,2,●,"","",●,03,～,"",03,1073,884,676,""
"",クボタ,AR216,5,2,"",●,"",●,03,～,"",03,767,648,550,""
"",クボタ,AR218,9,2,●,"","",●,03,～,"",03,1204,965,833,""
"",クボタ,ARN211,4,2,"",●,"",●,06,～,"",06,741,561,300,""
"",クボタ,ARN214,4,2,●,"","",●,06,～,"",06,1146,1061,950,""
"",クボタ,ARN214,4,2,"",●,"",●,06,～,"",06,904,737,602,""
"",クボタ,ARN216,19,2,●,"","",●,06,～,"",07,1389,1144,741,""
"",クボタ,ARN219,11,2,●,"","",●,06,～,"",06,1981,1416,1056,""
"",クボタ,ER211,12,2,●,"","",●,08,～,"",08,1058,926,630,""
"",クボタ,ER211,11,2,"",●,"",●,07,～,"",08,1019,766,583,""
"",クボタ,ER213,8,2,●,"","",●,08,～,"",08,1345,1042,700,""
"",クボタ,ER217,3,2,●,"","",●,12,～,"",12,2056,1552,998,""
"",クボタ,R216S,12,2,●,"","",●,01,～,"",01,950,736,507,""
"",クボタ,R218S,7,2,●,"","",●,01,～,"",01,1019,775,556,""
"",クボタ,S216,4,2,●,"","",●,11,～,"",12,1574,1276,1111,""
"",クボタ,SR165,3,2,●,"","",●,00,～,"",00,741,666,593,""
"",クボタ,SR195,4,2,●,"","",●,00,～,"",00,1389,859,442,""
"",クボタ,SR-J1,5,2,"",●,"",●,00,～,"",00,370,330,278,""
"",クボタ,SR-J2,8,2,"",●,"",●,97,～,"",97,400,349,250,""
"",クボタ,SR-J3,6,2,●,"","",●,97,～,"",97,741,595,463,""
"",クボタ,SR-J3,43,2,"",●,"",●,97,～,"",98,700,406,05,""
"",クボタ,SR-J4,6,2,●,"","",●,97,～,"",97,761,639,556,""
"",クボタ,SR-J4,8,2,"",●,"",●,97,～,"",98,650,488,324,""
"",クボタ,SR-J5,9,2,●,"","",●,97,～,"",98,920,727,587,""
"",クボタ,SR-J5,7,2,"",●,"",●,97,～,"",02,537,399,269,""
"",クボタ,SR-J6,7,2,●,"","",●,00,～,"",00,824,647,477,""
"",三菱,MC10,3,2,"",●,"",●,91,～,"",93,80,50,05,""
"",三菱,MC12,4,2,"",●,"",●,91,～,"",96,278,75,03,""
"",三菱,ML11,3,2,"",●,"",●,88,～,"",90,80,32,08,""
"",三菱,VM11,3,2,"",●,"",●,01,～,"",02,300,203,60,""
"",三菱,VM15,4,2,●,"","",●,02,～,"",02,1111,804,463,""
"",三菱,VM213,3,2,"",●,"",●,05,～,"",05,694,644,580,""
"",三菱,VM215,3,2,●,"","",●,05,～,"",05,1157,812,278,""
"",三菱,VM3,3,2,"",●,"",●,97,～,"",98,300,233,167,""
"",三菱,VM4,5,2,"",●,"",●,97,～,"",98,417,266,10,""
"",三菱,VM4,13,2,●,"","",●,97,～,"",04,872,479,20,""
"",三菱,VMS16,3,2,●,"","",●,05,～,"",05,1166,913,648,""
"",ヤンマー,AJ216,7,2,●,"","",●,08,～,"",09,1389,1188,1111,""
"",ヤンマー,AJ216H,4,2,"",●,"",●,09,～,"",09,1111,891,695,""
"",ヤンマー,AJ217,5,2,●,"","",●,10,～,"",15,2141,1669,1343,""
"",ヤンマー,CA10,4,2,"",●,"",●,85,～,"",90,5,04,02,""
"",ヤンマー,CA100M,7,2,"",●,"",●,89,～,"",90,300,49,03,""
"",ヤンマー,CA100M,10,2,"",●,"",●,92,～,"",94,278,60,02,""
"",ヤンマー,CA11,6,2,"",●,"",●,88,～,"",00,14,11,09,""
"",ヤンマー,CA11X,3,2,"",●,"",●,88,～,"",95,14,07,03,""
"",ヤンマー,CA120M,7,2,"",●,"",●,89,～,"",98,334,96,05,""
"",ヤンマー,CA120P,5,2,"",●,"",●,88,～,"",91,14,09,04,""
"",ヤンマー,CA120R,5,2,"",●,"",●,88,～,"",88,334,204,09,""
"",ヤンマー,CA125M,10,2,"",●,"",●,91,～,"",00,452,99,04,""
"",ヤンマー,CA125P,12,2,"",●,"",●,85,～,"",95,370,118,03,""
"",ヤンマー,CA130GP,6,2,●,"","",●,95,～,"",95,862,584,05,""
"",ヤンマー,CA130P,9,2,"",●,"",●,95,～,"",99,648,245,05,""
"",ヤンマー,CA135P,4,2,"",●,"",●,88,～,"",90,19,12,06,""
"",ヤンマー,CA135R,5,2,"",●,"",●,88,～,"",09,148,39,09,""
"",ヤンマー,CA13X,3,2,"",●,"",●,86,～,"",89,15,09,03,""
"",ヤンマー,CA140GP,6,2,●,"","",●,94,～,"",03,800,322,11,""
"",ヤンマー,CA140P,28,2,"",●,"",●,93,～,"",99,741,253,03,""
"",ヤンマー,CA155P,5,2,"",●,"",●,89,～,"",95,19,11,03,""
"",ヤンマー,CA160GP,10,2,●,"","",●,93,～,"",01,1000,445,10,""
"",ヤンマー,CA160P,15,2,"",●,"",●,92,～,"",00,833,412,03,""
"",ヤンマー,CA180GP,13,2,●,"","",●,94,～,"",02,907,629,04,""
"",ヤンマー,CA180P,5,2,"",●,"",●,95,～,"",04,556,161,20,""
"",ヤンマー,CA8,5,2,"",●,"",●,88,～,"",94,8,05,05,""
"",ヤンマー,CA85M,19,2,"",●,"",●,85,～,"",89,139,18,02,""
"",ヤンマー,EE-1,5,2,"",●,"",●,04,～,"",04,482,394,306,""
"",ヤンマー,EE211,4,2,"",●,"",●,08,～,"",08,741,638,472,""
"",ヤンマー,EE211G,4,2,●,"","",●,06,～,"",10,1176,1002,750,""
"",ヤンマー,EE213,6,2,"",●,"",●,06,～,"",09,787,663,432,""
"",ヤンマー,EE214G,6,2,●,"","",●,06,～,"",10,1389,1190,1000,""
"",ヤンマー,EE-2D,9,2,"",●,"",●,96,～,"",02,398,364,324,""
"",ヤンマー,EE-3,3,2,"",●,"",●,95,～,"",95,648,454,344,""
"",ヤンマー,EE-30,17,2,"",●,"",●,01,～,"",05,750,529,400,""
"",ヤンマー,EE-35,20,2,"",●,"",●,98,～,"",99,695,542,324,""
"",ヤンマー,EE-35G,10,2,●,"","",●,00,～,"",01,870,752,602,""
"",ヤンマー,EE-3D,51,2,"",●,"",●,95,～,"",98,556,371,05,""
"",ヤンマー,EE-4D,30,2,"",●,"",●,96,～,"",00,780,486,10,""
"",ヤンマー,EE-4DG,14,2,●,"","",●,97,～,"",97,1000,783,648,""
"",ヤンマー,EE-60G,3,2,●,"","",●,05,～,"",05,1280,1032,787,""
"",ヤンマー,GC215,5,2,●,"","",●,01,～,"",04,650,494,370,""
"",ヤンマー,GC215,11,2,"",●,"",●,00,～,"",00,748,547,183,""
"",ヤンマー,GC215G,26,2,●,"","",●,01,～,"",04,1204,907,682,""
"",ヤンマー,GC216,6,2,●,"","",●,03,～,"",04,1204,986,833,""
"",ヤンマー,GC215,6,2,"",●,"",●,04,～,"",04,1250,1022,898,""
"",ヤンマー,GC216H,3,2,"",●,"",●,05,～,"",05,1111,796,630,""
"",ヤンマー,GC217V,3,2,●,"","",●,07,～,"",07,1204,1117,1019,""
"",ヤンマー,GC218G,17,2,●,"","",●,00,～,"",01,1389,985,556,""
"",ヤンマー,GC219,8,2,●,"","",●,04,～,"",05,1500,1333,1061,""
"",ヤンマー,GC221,23,2,●,"","",●,99,～,"",02,1500,970,93,""
"",ヤンマー,GC222,13,2,●,"","",●,04,～,"",06,1481,1142,324,""
"",ヤンマー,GC223V,10,2,●,"","",●,08,～,"",10,1944,1603,1019,""
"",ヤンマー,TC1210,6,2,"",●,"",●,82,～,"",00,9,05,02,""
"",ヤンマー,TC600,3,2,"",●,"",●,76,～,"",76,14,14,14,""
