3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(2)3条,"","","","","","","","","","","","","","",""
"",⑦四国,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HA20,4,3,●,"","",●,96,～,"",11,766,338,50,""
"",ヰセキ,HF323,4,3,●,"","",●,01,～,"",08,1750,1592,1246,""
"",ヰセキ,HVA316,3,3,●,"","",●,04,～,"",07,1500,1445,1369,""
"",ヰセキ,HVB319,4,3,●,"","",●,13,～,"",13,2092,1696,1532,""
"",ヰセキ,HVF320,3,3,●,"","",●,12,～,"",12,2800,2561,2434,""
"",ヰセキ,HVF323,5,3,●,"","",●,10,～,"",15,2969,2826,2685,""
"",ヰセキ,HVG320,5,3,●,"","",●,04,～,"",09,2146,1693,1030,""
"",ヰセキ,HVG323,4,3,●,"","",●,05,～,"",08,2049,1331,950,""
"",ヤンマー,AJ318,7,3,●,"","",●,08,～,"",08,1737,1444,1361,""
"",ヤンマー,GC328,3,3,●,"","",●,00,～,"",02,2130,1406,1019,""
"",ヤンマー,GC328V,3,3,●,"","",●,07,～,"",08,2222,2006,1806,""
