3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(3)4条,"","","","","","","","","","","","","","",""
"",⑤東海,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,HF431,4,4,●,"","",●,05,～,"",05,2200,1532,1080,""
"",ヰセキ,HF433,4,4,●,"","",●,03,～,"",04,2419,1558,1000,""
"",ヰセキ,HFC433,3,4,●,"","",●,11,～,"",12,3057,2827,2600,""
"",クボタ,ARN445,3,4,●,"","",●,05,～,"",05,2500,1767,800,""
"",ヤンマー,AE439,3,4,●,"","",●,10,～,"",10,2870,2870,2870,""
"",ヤンマー,EE-10,3,4,"",●,"",●,00,～,"",00,65,65,65,""
"",ヤンマー,GC451,3,4,●,"","",●,01,～,"",01,1111,515,185,""
