2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",(1)3～4条,"","","","","","","","","","","","","","",""
"",⑧九州,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,植付け方式,"",施肥機,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",クランク,ロータリー,有,無,"","","","",最高,平均,最低,""
"",クボタ,JC3,4,3,●,"","",●,05,～,"",05,241,210,137,""
"",ヰセキ,PK43,12,4,●,"","",●,96,～,"",00,300,128,05,""
"",ヰセキ,PM40,16,4,"",●,"",●,92,～,"",02,250,67,05,""
"",ヰセキ,PM43,3,4,"",●,●,"",97,～,"",03,357,249,140,""
"",ヰセキ,PM43,22,4,"",●,"",●,96,～,"",04,400,256,06,""
"",ヰセキ,PP4,6,4,●,"","",●,01,～,"",06,275,215,100,""
"",ヰセキ,PP43,13,4,●,"","",●,02,～,"",10,330,257,140,""
"",ヰセキ,PPZ4,4,4,●,"","",●,10,～,"",12,450,373,318,""
"",ヰセキ,PQ4,12,4,"",●,●,"",03,～,"",08,680,486,350,""
"",ヰセキ,PQ4,18,4,"",●,"",●,02,～,"",10,490,351,06,""
"",ヰセキ,PQ4V,7,4,"",●,"",●,03,～,"",06,500,390,280,""
"",ヰセキ,PQZ4,7,4,"",●,●,"",07,～,"",11,941,779,540,""
"",ヰセキ,PQZ4,13,4,"",●,"",●,08,～,"",12,750,530,261,""
"",クボタ,EP4,14,4,●,"","",●,11,～,"",11,550,411,279,""
"",クボタ,JC4,79,4,●,"","",●,02,～,"",02,489,218,25,""
"",クボタ,JC4A,34,4,●,"","",●,05,～,"",09,417,301,148,""
"",クボタ,JJ4,13,4,●,"","",●,00,～,"",00,200,141,76,""
"",クボタ,P450,3,4,"",●,"",●,13,～,"",13,859,807,730,""
"",クボタ,SPA4,11,4,"",●,"",●,93,～,"",93,400,183,50,""
"",クボタ,SPA45,5,4,"",●,"",●,96,～,"",96,222,148,20,""
"",クボタ,SPJ400,3,4,"",●,●,"",97,～,"",97,296,240,193,""
"",クボタ,SPJ400,66,4,"",●,"",●,97,～,"",99,509,219,02,""
"",クボタ,SPJ400K,19,4,●,"","",●,98,～,"",99,278,134,02,""
"",クボタ,SPJ40A,8,4,"",●,●,"",01,～,"",01,730,448,250,""
"",クボタ,SPJ40A,41,4,"",●,"",●,01,～,"",01,370,250,28,""
"",クボタ,SPJ40AK,3,4,●,"",●,"",01,～,"",01,324,275,241,""
"",クボタ,SPJ40AK,12,4,●,"","",●,01,～,"",01,317,216,29,""
"",クボタ,SPJ450,3,4,"",●,●,"",98,～,"",98,417,309,185,""
"",クボタ,SPJ450,7,4,"",●,"",●,98,～,"",98,460,298,185,""
"",クボタ,SPK4,8,4,●,"","",●,92,～,"",92,100,52,02,""
"",クボタ,SPK45,4,4,●,"","",●,95,～,"",95,120,69,05,""
"",クボタ,SPU40P,10,4,"",●,"",●,04,～,"",04,450,295,51,""
"",クボタ,SPU430P,6,4,"",●,"",●,08,～,"",08,787,574,400,""
"",クボタ,SPU450P,21,4,"",●,●,"",08,～,"",08,1254,901,648,""
"",クボタ,SPU450P,28,4,"",●,"",●,08,～,"",08,833,654,371,""
"",クボタ,SPU45P,23,4,"",●,●,"",04,～,"",07,843,545,315,""
"",クボタ,SPU45P,50,4,"",●,"",●,04,～,"",07,760,451,200,""
"",三菱,LC4,3,4,●,"","",●,08,～,"",08,300,224,171,""
"",三菱,LV4,5,4,"",●,●,"",06,～,"",10,741,514,400,""
"",三菱,LV4,10,4,"",●,"",●,06,～,"",10,600,486,352,""
"",三菱,MPR4,3,4,●,"","",●,93,～,"",01,139,60,02,""
