1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",ヤンマー,AF324,4,24,"",●,"","","","",●,"","",●,02,～,"",02,1058,747,137,""
"",ヤンマー,EF220,4,20,"",●,"","","","",●,"",●,"",03,～,"",07,1204,990,880,""
"",ヤンマー,EF224,5,24,"",●,"","","","",●,"",●,"",98,～,"",06,1389,1054,602,""
"",ヤンマー,EG224,3,24,"",●,"","",●,"","","",●,"",98,～,"",09,2037,1667,1204,""
"",ヤンマー,EG224,4,24,"",●,"","","","",●,"",●,"",98,～,"",12,1481,1387,1289,""
"",ヤンマー,F20,8,20,"",●,"","","","",●,"",●,"",83,～,"",98,297,197,74,""
"",ヤンマー,F20,4,20,"",●,"","","","",●,"","",●,96,～,"",96,231,181,139,""
"",ヤンマー,F20,3,20,●,"","","","","",●,"",●,"",90,～,"",90,65,52,46,""
"",ヤンマー,F-200,10,20,"",●,"","","","",●,"",●,"",93,～,"",98,472,326,74,""
"",ヤンマー,F-210,6,21,●,"","","","","",●,"",●,"",95,～,"",98,648,432,204,""
"",ヤンマー,F-210,3,21,●,"","","","","","",●,●,"",97,～,"",98,370,296,167,""
"",ヤンマー,F215,7,21,"",●,"","","","",●,"",●,"",88,～,"",98,231,179,46,""
"",ヤンマー,F22,3,22,"",●,"","","","",●,"",●,"",86,～,"",98,185,139,46,""
"",ヤンマー,F-220,5,22,"",●,"","","","",●,"",●,"",91,～,"",01,709,318,157,""
"",ヤンマー,F-230,6,23,●,"","","","","",●,"",●,"",97,～,"",98,787,494,139,""
"",ヤンマー,F235,3,23,"",●,"","","","",●,"",●,"",88,～,"",89,231,216,185,""
"",ヤンマー,FX22,3,22,"",●,"","","","",●,"",●,"",83,～,"",00,139,122,88,""
"",ヤンマー,FX235,3,23,"",●,"","","","",●,"",●,"",89,～,"",00,370,278,185,""
"",ヤンマー,RS-24,10,24,"",●,"","","","",●,"",●,"",85,～,"",02,926,495,250,""
