2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",(1)3～4条,"","","","","","","","","","","","","","",""
"",⑤近畿,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,植付け方式,"",施肥機,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",クランク,ロータリー,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,PM40,3,4,"",●,●,"",94,～,"",05,251,187,109,""
"",ヰセキ,PM40,9,4,"",●,"",●,91,～,"",98,201,105,40,""
"",ヰセキ,PM43,8,4,"",●,●,"",98,～,"",02,281,178,98,""
"",ヰセキ,PM43,16,4,"",●,"",●,97,～,"",03,370,178,50,""
"",ヰセキ,PP4,10,4,●,"","",●,98,～,"",05,281,170,100,""
"",ヰセキ,PP43,11,4,●,"","",●,02,～,"",09,290,191,80,""
"",ヰセキ,PPZ4,4,4,●,"",●,"",00,～,"",11,751,570,325,""
"",ヰセキ,PPZ4,3,4,●,"","",●,09,～,"",12,401,359,325,""
"",ヰセキ,PQ4,21,4,"",●,●,"",02,～,"",08,660,521,351,""
"",ヰセキ,PQ4,7,4,"",●,"",●,03,～,"",09,601,292,100,""
"",ヰセキ,PQ4K,3,4,●,"","",●,02,～,"",04,325,168,50,""
"",ヰセキ,PQ4V,8,4,"",●,"",●,03,～,"",06,501,282,08,""
"",ヰセキ,PQZ4,8,4,"",●,●,"",07,～,"",12,1001,660,420,""
"",ヰセキ,PQZ4,10,4,"",●,"",●,08,～,"",13,666,536,400,""
"",ヰセキ,PQZ43,3,4,"",●,●,"",11,～,"",15,1435,1299,1085,""
"",クボタ,JC4,20,4,●,"","",●,02,～,"",02,398,244,111,""
"",クボタ,JC4A,14,4,●,"","",●,05,～,"",09,371,292,167,""
"",クボタ,SPA4,5,4,"",●,"",●,93,～,"",93,120,64,03,""
"",クボタ,SPA45,3,4,"",●,"",●,96,～,"",96,301,216,46,""
"",クボタ,SPJ400,5,4,"",●,●,"",97,～,"",99,401,266,09,""
"",クボタ,SPJ400,30,4,"",●,"",●,97,～,"",00,401,243,83,""
"",クボタ,SPJ40A,4,4,"",●,●,"",01,～,"",02,380,301,194,""
"",クボタ,SPJ40A,11,4,"",●,"",●,01,～,"",01,438,288,100,""
"",クボタ,SPJ450,3,4,"",●,●,"",98,～,"",99,280,237,213,""
"",クボタ,SPK45,6,4,●,"","",●,95,～,"",95,185,127,46,""
"",クボタ,SPU450P,10,4,"",●,●,"",08,～,"",08,1000,765,593,""
"",クボタ,SPU45P,19,4,"",●,●,"",04,～,"",07,741,453,160,""
"",クボタ,SPU45P,13,4,"",●,"",●,04,～,"",07,600,348,149,""
"",三菱,LC4,4,4,●,"","",●,05,～,"",07,370,278,231,""
"",三菱,LV4,9,4,"",●,"",●,05,～,"",10,700,496,297,""
"",三菱,LV4,3,4,"",●,●,"",06,～,"",10,889,574,278,""
"",ヤンマー,PE-1,15,4,●,"","",●,99,～,"",99,231,143,79,""
"",ヤンマー,PE-4,3,4,●,"","",●,91,～,"",02,93,34,05,""
"",ヤンマー,PE-40R,3,4,"",●,"",●,99,～,"",99,315,199,05,""
"",ヤンマー,PE-4AR,11,4,"",●,"",●,99,～,"",00,408,301,159,""
"",ヤンマー,PES-1,22,4,●,"","",●,07,～,"",07,417,355,300,""
"",ヤンマー,RR4,3,4,"",●,"",●,98,～,"",01,278,321,139,""
"",ヤンマー,RR40,4,4,"",●,"",●,93,～,"",93,93,38,05,""
"",ヤンマー,RR400,14,4,"",●,"",●,93,～,"",96,278,159,05,""
"",ヤンマー,VP1,5,4,"",●,"",●,10,～,"",10,600,431,370,""
"",ヤンマー,VP4,14,4,"",●,●,"",01,～,"",06,602,477,278,""
"",ヤンマー,VP4,6,4,"",●,"",●,03,～,"",06,463,372,278,""
"",ヤンマー,VP40,4,4,"",●,●,"",07,～,"",10,833,690,572,""
"",ヤンマー,VP4C,4,4,"",●,"",●,03,～,"",08,463,389,324,""
