2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",(1)3～4条,"","","","","","","","","","","","","","",""
"",①東北,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,植付け方式,"",施肥機,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",クランク,ロータリー,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,PQ4,3,4,"",●,"",●,95,～,"",07,480,294,193,""
"",クボタ,EP4,3,4,●,"","",●,11,～,"",11,389,330,231,""
"",クボタ,JC4,18,4,●,"","",●,02,～,"",02,250,146,65,""
"",クボタ,JC4A,9,4,●,"","",●,05,～,"",09,324,286,231,""
"",クボタ,SPA4,6,4,"",●,"",●,93,～,"",93,222,128,23,""
"",クボタ,SPJ400,24,4,"",●,"",●,97,～,"",97,324,174,11,""
"",クボタ,SPJ40A,23,4,"",●,"",●,01,～,"",01,417,252,12,""
"",クボタ,SPJ40AK,4,4,●,"","",●,01,～,"",01,204,179,130,""
"",クボタ,SPK4,3,4,●,"","",●,92,～,"",92,114,104,88,""
"",クボタ,SPK45,4,4,●,"","",●,95,～,"",95,136,119,93,""
"",クボタ,SPU450P,5,4,"",●,●,"",08,～,"",08,948,788,556,""
"",クボタ,SPU450P,8,4,"",●,"",●,08,～,"",08,755,610,397,""
"",クボタ,SPU45P,5,4,"",●,●,"",04,～,"",07,602,387,231,""
"",クボタ,SPU45P,20,4,"",●,"",●,04,～,"",07,648,411,167,""
"",ヤンマー,PE-1,5,4,●,"","",●,99,～,"",99,278,156,30,""
"",ヤンマー,PE-1A,3,4,●,"","",●,01,～,"",02,300,214,111,""
"",ヤンマー,PE-1X,4,4,●,"","",●,04,～,"",04,278,214,150,""
"",ヤンマー,PE-4,3,4,●,"","",●,94,～,"",95,150,86,09,""
"",ヤンマー,PE-40R,5,4,"",●,"",●,99,～,"",99,370,284,170,""
"",ヤンマー,PE-4AR,4,4,"",●,"",●,99,～,"",00,389,277,194,""
"",ヤンマー,PES-1,9,4,●,"","",●,07,～,"",07,444,348,231,""
"",ヤンマー,RR4,5,4,"",●,"",●,98,～,"",00,400,256,108,""
"",ヤンマー,RR400,3,4,"",●,"",●,96,～,"",02,180,118,56,""
"",ヤンマー,VP1,4,4,"",●,"",●,10,～,"",10,602,426,281,""
"",ヤンマー,VP4,3,4,"",●,"",●,02,～,"",02,540,457,400,""
"",ヤンマー,VP4C,4,4,"",●,"",●,03,～,"",05,461,356,231,""
