1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(5)30～40馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑨九州,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,AT33,7,33,"",●,"","",●,"","","",●,"",04,～,"",09,2345,1900,1586,""
"",ヰセキ,AT33,9,33,"",●,"","","","",●,"",●,"",04,～,"",09,2286,1656,1052,""
"",ヰセキ,AT340,6,34,"",●,"","",●,"","","",●,"",09,～,"",11,2800,2451,2256,""
"",ヰセキ,AT340,3,34,"",●,"","","","",●,"",●,"",09,～,"",13,3024,2301,1850,""
"",ヰセキ,AT37,5,37,"",●,"","",●,"","","",●,"",05,～,"",09,2800,2322,1884,""
"",ヰセキ,ATK340,4,34,"",●,"","","","",●,"",●,"",09,～,"",12,2592,2214,1850,""
"",ヰセキ,TG313,3,31,"",●,"","","","",●,"",●,"",99,～,"",03,1400,947,200,""
"",ヰセキ,TG333,3,33,"",●,"","",●,"","","",●,"",03,～,"",07,1750,1603,1410,""
"",ヰセキ,TG333,4,33,"",●,"","","","",●,"",●,"",99,～,"",02,1903,1196,380,""
"",ヰセキ,TGS30,5,30,"",●,"","",●,"","","",●,"",03,～,"",04,1800,1460,1199,""
"",ヰセキ,TGS33,5,33,"",●,"","",●,"","","",●,"",02,～,"",03,1800,1646,1500,""
"",クボタ,GL301,8,31,"",●,"","","","",●,"",●,"",96,～,"",96,1269,999,645,""
"",クボタ,GL-32,3,32,"",●,"","","","","",●,●,"",90,～,"",90,1632,1169,875,""
"",クボタ,GL320,3,32,"",●,"","","","",●,"",●,"",93,～,"",93,1020,873,700,""
"",クボタ,GL321,7,33,"",●,"","",●,"","","",●,"",96,～,"",96,1576,1292,955,""
"",クボタ,GL321,4,33,"",●,"","","","",●,"",●,"",96,～,"",96,1407,1116,951,""
"",クボタ,GL337,4,33,"",●,"","","","",●,"","",●,96,～,"",96,1369,1045,667,""
"",クボタ,GT30,4,30,"",●,"","","","",●,"",●,"",97,～,"",97,1250,890,370,""
"",クボタ,KL30,4,30,"",●,"","",●,"","","",●,"",99,～,"",99,2050,1719,1343,""
"",クボタ,KL30,8,30,"",●,"","","","",●,"",●,"",99,～,"",99,1781,1319,833,""
"",クボタ,KL30,3,30,"",●,"","","","",●,"","",●,99,～,"",99,1800,1535,1040,""
"",クボタ,KL300,8,30,"",●,"","",●,"","","",●,"",03,～,"",03,2633,2090,1368,""
"",クボタ,KL300,5,30,"",●,"","","","",●,"",●,"",03,～,"",03,2000,1694,1123,""
"",クボタ,KL310H,4,31,"",●,"","","","",●,"",●,"",03,～,"",03,1780,1556,1389,""
"",クボタ,KL315,3,31,"",●,"","",●,"","","",●,"",07,～,"",07,2780,2629,2400,""
"",クボタ,KL315H,6,31,"",●,"","",●,"","","",●,"",07,～,"",07,2700,2433,1944,""
"",クボタ,KL31H,3,31,"",●,"","","","",●,"",●,"",00,～,"",00,1855,1712,1481,""
"",クボタ,KL31R,3,31,"",●,"","",●,"","","",●,"",10,～,"",10,3069,2955,2880,""
"",クボタ,KL31R,3,31,"",●,"","",●,"","","","",●,10,～,"",10,3152,2856,2454,""
"",クボタ,KL31RH,7,31,"",●,"","","","",●,"",●,"",10,～,"",10,2813,2347,1780,""
"",クボタ,KL33,10,33,"",●,"","",●,"","","",●,"",99,～,"",99,2150,1805,1366,""
"",クボタ,KL33,13,33,"",●,"","","","",●,"",●,"",99,～,"",99,1810,1265,556,""
"",クボタ,KL330,3,33,"",●,"","",●,"","","","",●,03,～,"",03,2400,2139,1837,""
"",クボタ,KL330,5,33,"",●,"","","","",●,"",●,"",03,～,"",03,2296,1676,1310,""
"",クボタ,KL330(PC),3,33,"","",●,"",●,"","","","",●,03,～,"",04,2200,1827,1249,""
"",クボタ,KL330D,3,33,"",●,"","","","",●,"",●,"",05,～,"",05,1528,1446,1296,""
"",クボタ,KL340H,16,34,"",●,"","",●,"","","",●,"",03,～,"",03,2903,2170,1083,""
"",クボタ,KL340H,9,34,"",●,"","",●,"","","","",●,03,～,"",03,2157,1732,1290,""
"",クボタ,KL340H,3,34,"",●,"","","","",●,"",●,"",03,～,"",03,2130,1860,1389,""
"",クボタ,KL340H,4,34,"",●,"","","","",●,"","",●,03,～,"",03,2300,1732,1052,""
"",クボタ,KL3450(PC),3,34,"","",●,"",●,"","","",●,"",09,～,"",09,3130,2761,2451,""
"",クボタ,KL345H,7,34,"",●,"","",●,"","","",●,"",07,～,"",07,3000,2543,2037,""
"",クボタ,KL345H(PC),5,34,"","",●,"",●,"","","","",●,07,～,"",07,3200,2509,1194,""
"",クボタ,KL34H,4,34,"",●,"","",●,"","","",●,"",00,～,"",00,2582,1671,602,""
"",クボタ,KL34H,4,34,"",●,"","","","",●,"",●,"",00,～,"",00,1846,1797,1759,""
"",クボタ,KL34H,3,34,"",●,"","","","",●,"","",●,00,～,"",00,1988,1693,1514,""
"",クボタ,KL34RH,6,34,"",●,"","",●,"","","",●,"",10,～,"",10,3623,2783,1856,""
"",クボタ,KL34RH,3,34,"",●,"","",●,"","","","",●,10,～,"",10,3284,3118,2899,""
"",クボタ,KL34RH(PC),4,34,"","",●,"",●,"","","",●,"",10,～,"",10,3500,3182,2778,""
"",クボタ,KL380H,6,38,"",●,"","",●,"","","",●,"",04,～,"",04,2778,2438,1677,""
"",クボタ,KL380H,4,38,"",●,"","",●,"","","","",●,04,～,"",04,2550,2239,1944,""
"",クボタ,KL385H,3,38,"",●,"","",●,"","","","",●,00,～,"",07,2593,2234,1850,""
"",三菱,GO34,3,34,"",●,"","",●,"","","","",●,05,～,"",05,1852,1639,1490,""
"",ヤンマー,AF-30,4,30,"",●,"","","","",●,"","",●,96,～,"",97,926,906,900,""
"",ヤンマー,AF-310R,4,31,"",●,"","","","",●,"",●,"",98,～,"",99,1898,1204,417,""
"",ヤンマー,AF-310R,3,31,"",●,"","","","",●,"","",●,97,～,"",99,1574,1256,648,""
"",ヤンマー,AF330,6,30,"",●,"","","","",●,"",●,"",00,～,"",02,1667,1322,930,""
"",ヤンマー,AF330,4,30,"",●,"","","","",●,"","",●,97,～,"",00,1204,1000,833,""
"",ヤンマー,AF330JR,4,30,"",●,"","","","",●,"",●,"",00,～,"",01,1569,1126,556,""
"",ヤンマー,AF-330R,4,33,"",●,"","","","",●,"",●,"",97,～,"",98,1389,1389,1389,""
"",ヤンマー,AF333,8,33,"",●,"","","","",●,"",●,"",96,～,"",02,1667,1476,1278,""
"",ヤンマー,AF333,7,33,"",●,"","","","",●,"","",●,00,～,"",02,1486,1182,711,""
"",ヤンマー,AF336JR,5,36,"",●,"","","","",●,"",●,"",96,～,"",01,1528,667,278,""
"",ヤンマー,AF-350JR,3,35,"",●,"","","","",●,"",●,"",98,～,"",98,1389,1389,1389,""
"",ヤンマー,EF330,3,30,"",●,"","",●,"","","",●,"",98,～,"",04,2157,1861,1667,""
"",ヤンマー,EF330J,3,30,"",●,"","",●,"","","","",●,05,～,"",05,1884,1863,1852,""
"",ヤンマー,EF330VJ,3,30,"",●,"","","","",●,"",●,"",06,～,"",09,2222,1780,1200,""
"",ヤンマー,EF334V,4,34,"",●,"","",●,"","","","",●,07,～,"",08,2049,1998,1852,""
"",ヤンマー,EF334VJ,3,34,"",●,"","","","",●,"",●,"",07,～,"",09,2111,2031,1898,""
"",ヤンマー,FX30S,3,30,"",●,"","","","",●,"",●,"",93,～,"",00,556,343,185,""
"",ヤンマー,RS-30,3,30,"",●,"","","","",●,"",●,"",95,～,"",95,1130,1130,1130,""
"",ヤンマー,US301,3,30,"",●,"","","","",●,"",●,"",85,～,"",07,1991,1358,880,""
"",ヤンマー,US31,3,31,"",●,"","","","",●,"","",●,92,～,"",92,602,602,602,""
