1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(４)25～30馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑦四国,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,AT25,8,25,"",●,"","","","",●,"",●,"",04,～,"",09,1778,1478,968,""
"",ヰセキ,AT260,3,26,"",●,"","","","",●,"",●,"",10,～,"",12,2264,1970,1800,""
"",ヰセキ,TA263,3,26,"",●,"","","","",●,"",●,"",93,～,"",97,578,397,76,""
"",ヰセキ,TG253,10,25,"",●,"","","","",●,"",●,"",99,～,"",04,1502,1094,650,""
"",ヰセキ,TG273,4,27,"",●,"","","","",●,"",●,"",00,～,"",04,1021,696,380,""
"",ヰセキ,TGS25,5,25,"",●,"","","","",●,"",●,"",97,～,"",05,1226,1027,835,""
"",ヰセキ,TH25,9,25,"",●,"","","","",●,"",●,"",06,～,"",08,1546,1254,900,""
"",ヰセキ,TH253,4,25,"",●,"","","","",●,"",●,"",07,～,"",11,1460,1272,970,""
"",ヰセキ,TH265,3,26,"",●,"","","","",●,"",●,"",14,～,"",15,1907,1636,1279,""
"",クボタ,GL241,3,25,"",●,"","","","",●,"",●,"",96,～,"",96,800,513,370,""
"",クボタ,KL25,6,25,"",●,"","","","",●,"",●,"",99,～,"",99,843,782,700,""
"",クボタ,KL27,5,27,"",●,"","","","",●,"",●,"",99,～,"",01,1111,869,694,""
"",ヤンマー,AF226,3,26,"",●,"","","","",●,"","",●,00,～,"",00,1000,883,741,""
"",ヤンマー,AF-250,3,25,"",●,"","","","",●,"",●,"",97,～,"",04,694,664,648,""
"",ヤンマー,AF-26,4,26,"",●,"","","","",●,"",●,"",92,～,"",96,963,619,430,""
"",ヤンマー,EF226,3,26,"",●,"","","","",●,"",●,"",03,～,"",04,1343,1264,1111,""
"",ヤンマー,EF326,3,26,"",●,"","","","",●,"",●,"",03,～,"",03,926,926,926,""
