2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",(3)6条,"","","","","","","","","","","","","","",""
"",①北海道,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,植付け方式,"",施肥機,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",クランク,ロータリー,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,PZ60,7,6,"",●,●,"",07,～,"",12,858,438,190,""
"",クボタ,NSU67,11,6,"",●,●,"",08,～,"",08,1000,429,70,""
"",クボタ,SPU65,5,6,"",●,●,"",00,～,"",00,457,115,06,""
"",クボタ,SPU650,4,6,"",●,●,"",03,～,"",03,359,130,14,""
"",クボタ,SPU650,3,6,"",●,"",●,03,～,"",03,522,304,111,""
"",ヤンマー,VP6,5,6,"",●,●,"",02,～,"",05,1000,551,343,""
