3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(4)5条,"","","","","","","","","","","","","","",""
"",④九州,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",クボタ,ER587,3,5,●,"",●,"",08,～,"",11,6481,5805,4797,""
"",ヤンマー,GC558,3,5,●,"",●,"",04,～,"",04,2315,2315,2315,""
"",ヤンマー,GC70,3,5,●,"","",●,98,～,"",03,1500,662,185,""
