2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",(2)5条,"","","","","","","","","","","","","","",""
"",⑧九州,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,植付け方式,"",施肥機,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",クランク,ロータリー,有,無,"","","","",最高,平均,最低,""
"",ヰセキ,PA50D,4,5,"",●,"",●,94,～,"",95,250,126,07,""
"",ヰセキ,PA53,3,5,"",●,●,"",96,～,"",98,200,74,10,""
"",ヰセキ,PA53,3,5,"",●,"",●,90,～,"",03,220,195,165,""
"",ヰセキ,PG5,3,5,"",●,●,"",01,～,"",02,500,407,350,""
"",ヰセキ,PG53,5,5,"",●,●,"",02,～,"",08,700,558,450,""
"",ヰセキ,PG53,7,5,"",●,"",●,02,～,"",07,690,409,220,""
"",ヰセキ,PH5,3,5,"",●,"",●,98,～,"",02,300,180,40,""
"",ヰセキ,PQ5,5,5,"",●,●,"",03,～,"",07,660,313,11,""
"",ヰセキ,PQZ5,3,5,"",●,"",●,08,～,"",11,652,558,410,""
"",ヰセキ,PZ50,7,5,"",●,●,"",06,～,"",09,996,834,400,""
"",ヰセキ,PZ50,7,5,"",●,"",●,08,～,"",11,896,755,569,""
"",ヰセキ,PZ53,4,5,"",●,"",●,11,～,"",14,1114,1053,1000,""
"",クボタ,EP55,6,5,"",●,●,"",11,～,"",11,1620,1365,961,""
"",クボタ,NSU50,8,5,"",●,"",●,06,～,"",06,741,586,418,""
"",クボタ,NSU55,15,5,"",●,●,"",06,～,"",09,1454,1003,508,""
"",クボタ,NSU55,11,5,"",●,"",●,06,～,"",06,1338,994,695,""
"",クボタ,SPA5,4,5,"",●,●,"",93,～,"",93,278,236,185,""
"",クボタ,SPA5,18,5,"",●,"",●,93,～,"",93,269,122,08,""
"",クボタ,SPA55,19,5,"",●,"",●,96,～,"",96,454,188,03,""
"",クボタ,SPJ500,3,5,"",●,●,"",99,～,"",99,556,429,250,""
"",クボタ,SPJ50A,4,5,"",●,"",●,01,～,"",01,481,342,259,""
"",クボタ,SPU50,21,5,"",●,●,"",00,～,"",00,738,482,200,""
"",クボタ,SPU50,21,5,"",●,"",●,00,～,"",00,676,425,10,""
"",クボタ,SPU500,11,5,"",●,●,"",03,～,"",03,880,602,231,""
"",クボタ,SPU500,18,5,"",●,"",●,03,～,"",03,880,610,500,""
"",クボタ,SPU500P,3,5,"",●,●,"",08,～,"",08,1050,799,600,""
"",クボタ,SPU500P,10,5,"",●,"",●,08,～,"",08,1230,853,550,""
"",クボタ,SPU50P,3,5,"",●,●,"",04,～,"",04,556,498,448,""
"",クボタ,SPU50P,5,5,"",●,"",●,04,～,"",04,501,347,93,""
"",クボタ,SPU550,9,5,"",●,●,"",03,～,"",03,926,721,463,""
"",クボタ,SPU550,3,5,"",●,"",●,03,～,"",03,784,502,322,""
"",三菱,LV5,6,5,"",●,●,"",03,～,"",09,800,610,463,""
"",三菱,LV5,3,5,"",●,"",●,03,～,"",09,741,633,445,""
"",三菱,MPR505,5,5,"",●,"",●,95,～,"",95,200,121,50,""
"",三菱,MPR510,3,5,"",●,"",●,00,～,"",00,324,211,09,""
"",ヤンマー,GP5,4,5,"",●,"",●,95,～,"",99,400,215,17,""
"",ヤンマー,PE-2,5,5,●,"","",●,01,～,"",01,213,156,93,""
"",ヤンマー,PE-50R,4,5,"",●,"",●,97,～,"",00,324,213,46,""
"",ヤンマー,RJ5,3,5,"",●,●,"",11,～,"",11,1343,1194,991,""
"",ヤンマー,RR5,3,5,"",●,●,"",00,～,"",00,231,142,09,""
"",ヤンマー,RR5,14,5,"",●,"",●,01,～,"",01,417,296,05,""
"",ヤンマー,RR500,5,5,"",●,"",●,96,～,"",97,204,105,05,""
"",ヤンマー,RR55,5,5,"",●,"",●,88,～,"",92,231,119,14,""
"",ヤンマー,RR550,3,5,"",●,●,"",93,～,"",95,185,100,05,""
"",ヤンマー,RR550,7,5,"",●,"",●,95,～,"",97,194,135,03,""
"",ヤンマー,VP5,6,5,"",●,●,"",02,～,"",07,777,592,435,""
"",ヤンマー,VP5,8,5,"",●,"",●,02,～,"",05,769,641,463,""
"",ヤンマー,VP50,3,5,"",●,●,"",09,～,"",09,1111,801,370,""
"",ヤンマー,VP5C,7,5,"",●,●,"",03,～,"",03,630,556,400,""
"",ヤンマー,VP5C,14,5,"",●,"",●,03,～,"",06,741,517,15,""
