1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(2)15～20馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑤近畿,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,TF15,8,15,"",●,"","","","",●,"",●,"",91,～,"",00,500,272,65,""
"",ヰセキ,TF153,4,16,"",●,"","","","",●,"",●,"",96,～,"",01,601,583,531,""
"",ヰセキ,TF17,5,17,"",●,"","","","",●,"",●,"",92,～,"",97,570,330,150,""
"",ヰセキ,TF173,10,17.5,"",●,"","","","",●,"",●,"",96,～,"",03,649,455,76,""
"",ヰセキ,TF19,8,19,"",●,"","","","",●,"",●,"",92,～,"",11,491,283,101,""
"",ヰセキ,TF193,7,19.5,"",●,"","","","",●,"",●,"",95,～,"",01,608,504,170,""
"",ヰセキ,TH193,3,19,"",●,"","","","",●,"",●,"",98,～,"",11,1101,873,419,""
"",ヰセキ,TM15,16,15,"",●,"","","","",●,"",●,"",95,～,"",07,501,271,69,""
"",ヰセキ,TM150,6,15,"",●,"","","","",●,"",●,"",03,～,"",06,735,600,335,""
"",ヰセキ,TM16,3,16,"",●,"","","","",●,"",●,"",06,～,"",09,701,595,450,""
"",ヰセキ,TM17,9,16.5,"",●,"","","","",●,"",●,"",96,～,"",07,601,376,103,""
"",ヰセキ,TM170,6,17,"",●,"","","","",●,"",●,"",04,～,"",05,655,558,491,""
"",ヰセキ,TX155,5,15,"",●,"","","","",●,"",●,"",89,～,"",12,205,139,72,""
"",クボタ,A-15,4,15.5,"",●,"","","","","",●,●,"",88,～,"",88,350,261,139,""
"",クボタ,A-175,3,17.5,"",●,"","","","","",●,●,"",92,～,"",92,538,404,278,""
"",クボタ,A-175,5,17.5,"",●,"","","","","",●,"",●,92,～,"",92,555,368,176,""
"",クボタ,B1-15,8,15.5,"",●,"","","","","",●,●,"",85,～,"",85,370,141,19,""
"",クボタ,B72,4,16.5,"",●,"","","","",●,"",●,"",98,～,"",98,600,484,410,""
"",クボタ,GB15,12,15,"",●,"","","","",●,"",●,"",97,～,"",01,593,394,237,""
"",クボタ,GB170,11,17,"",●,"","","","",●,"",●,"",01,～,"",03,801,502,76,""
"",クボタ,GB18,7,18,"",●,"","","","",●,"",●,"",96,～,"",96,600,462,145,""
"",クボタ,GB180,5,18,"",●,"","","","",●,"",●,"",00,～,"",00,630,529,370,""
"",クボタ,JB16,5,16.5,"",●,"","","","",●,"",●,"",06,～,"",06,700,662,556,""
"",クボタ,JB17X,6,17,"",●,"","","","",●,"",●,"",09,～,"",09,1181,944,851,""
"",クボタ,JB17X(PC),3,17,"","",●,"","","",●,"",●,"",09,～,"",09,1030,964,863,""
"",クボタ,JB18,5,18.5,"",●,"","","","",●,"",●,"",06,～,"",06,1019,766,617,""
"",三菱,MT156,3,15.5,"",●,"","","","",●,"",●,"",97,～,"",97,324,262,231,""
"",三菱,MT165,3,16.5,"",●,"","","","","",●,●,"",91,～,"",91,324,241,139,""
"",ヤンマー,AF-16,3,16,"",●,"","","","",●,"",●,"",94,～,"",97,395,280,213,""
"",ヤンマー,AF-17,3,17,"",●,"","","","",●,"",●,"",95,～,"",98,462,379,231,""
"",ヤンマー,AF-18,9,18,"",●,"","","","",●,"",●,"",94,～,"",98,566,358,46,""
"",ヤンマー,AF-180,5,18,"",●,"","","","",●,"",●,"",98,～,"",99,612,575,537,""
"",ヤンマー,EF118,8,18,"",●,"","","","",●,"",●,"",96,～,"",11,1218,1035,800,""
"",ヤンマー,F15,7,15,"",●,"","","","",●,"","",●,85,～,"",93,151,117,83,""
"",ヤンマー,F155,6,16,"",●,"","","","",●,"",●,"",88,～,"",98,255,158,120,""
"",ヤンマー,F16,7,16,"",●,"","","","",●,"","",●,90,～,"",95,157,113,28,""
"",ヤンマー,F165,5,17,"",●,"","","","",●,"",●,"",86,～,"",98,180,132,46,""
"",ヤンマー,F175,6,17,"",●,"","","","",●,"",●,"",85,～,"",98,278,173,120,""
"",ヤンマー,F18,3,18,"",●,"","","","",●,"",●,"",85,～,"",00,213,173,139,""
"",ヤンマー,F-180,7,18,"",●,"","","","",●,"",●,"",91,～,"",98,418,233,167,""
"",ヤンマー,F-190,7,19,●,"","","","","",●,"",●,"",95,～,"",98,742,455,185,""
"",ヤンマー,F-6,5,16,"",●,"","","","",●,"",●,"",91,～,"",00,278,180,139,""
"",ヤンマー,KE-50,6,15,"",●,"","","","",●,"",●,"",98,～,"",04,648,409,157,""
"",ヤンマー,KE-50,6,17,"",●,"","","","",●,"",●,"",85,～,"",99,741,534,417,""
"",ヤンマー,YM1500,4,15,"",●,"","","","","",●,●,"",75,～,"",85,65,49,37,""
"",ヤンマー,YM1610,4,16,"",●,"","","","","",●,"",●,80,～,"",82,111,86,46,""
