3　コンバイン(タンク　有・無),"","","","","","","","","","","","","","","",""
"",(3)4条,"","","","","","","","","","","","","","",""
"",①北海道,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式　　　　(派生を含む),台数,条数,タンク,"",キャビン,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",有,無,有,無,"","","","",最高,平均,最低,""
"",クボタ,AR48,4,4,●,"","",●,02,～,"",02,1351,1029,648,""
"",クボタ,SR40,15,4,●,"","",●,95,～,"",95,768,410,20,""
"",クボタ,SR45,3,4,●,"","",●,95,～,"",95,653,394,155,""
"",ヤンマー,CA355GH,7,4,●,"","",●,93,～,"",99,741,315,30,""
"",ヤンマー,CA355SGH,6,4,●,"","",●,94,～,"",96,150,124,80,""
"",ヤンマー,CA435,4,4,●,"","",●,96,～,"",97,300,131,37,""
"",ヤンマー,CA455,3,4,●,"","",●,99,～,"",99,1111,941,648,""
"",ヤンマー,GC440,8,4,●,"","",●,99,～,"",02,1791,1084,352,""
"",ヤンマー,GC441V,3,4,●,"","",●,06,～,"",06,2220,2062,1852,""
