1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(5)30～40馬力,"","","","","","","","","","","","","","","","","","","","",""
"",⑦中国,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",ヰセキ,AT30,4,30,"",●,"","","","",●,"",●,"",05,～,"",09,2147,1512,1000,""
"",ヰセキ,AT33,4,33,"",●,"","",●,"","","",●,"",05,～,"",08,2000,1595,870,""
"",ヰセキ,TG33,3,33,"",●,"","","","",●,"",●,"",95,～,"",99,780,603,430,""
"",ヤンマー,FX30S,5,30,"",●,"","","","",●,"",●,"",93,～,"",01,691,329,93,""
"",ヤンマー,RS-30R,4,30,"",●,"","","","",●,"",●,"",97,～,"",97,1245,894,759,""
