1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",(1)15馬力未満,"","","","","","","","","","","","","","","","","","","","",""
"",②東北,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",単位：台、千円,"",""
"",銘柄,型式,台数,馬力,駆動方式,"","","",安全フレーム,"","","",ロータリ,"",年式及び初販年,"","","",販売価格(千円),"","",備考
"","","","","",2駆,4駆,ハーフ,フル,キャビン,４柱,２柱,フレ無し,有り,無し,"","","","",最高,平均,最低,""
"",クボタ,A-30,3,13,"",●,"","","","","",●,●,"",94,～,"",94,417,335,278,""
"",クボタ,B52,3,14.9,"",●,"","","","","",●,●,"",96,～,"",96,400,349,324,""
"",クボタ,B7001,3,14,"",●,"","","","","",●,●,"",76,～,"",76,111,99,93,""
"",クボタ,JB13X,3,13.5,"",●,"","","","",●,"",●,"",09,～,"",09,787,670,602,""
"",ヤンマー,F14,4,14,"",●,"","","","",●,"","",●,83,～,"",87,296,205,93,""
"",ヤンマー,KE-1,3,12.5,"",●,"","","","","",●,●,"",03,～,"",03,640,508,398,""
"",ヤンマー,KE-1D,4,12.5,"",●,"","","","","",●,●,"",04,～,"",04,463,359,324,""
"",ヤンマー,KE-2,3,13,"",●,"","","","","",●,●,"",93,～,"",10,450,384,350,""
"",ヤンマー,KE-40,5,14,"",●,"","","","","",●,●,"",95,～,"",02,652,524,400,""
"",ヤンマー,KE-4A,3,14,"",●,"","","","",●,"",●,"",93,～,"",00,450,387,302,""
